,id,Date,Gender,venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
293,1190773,26-07-2019,male,Indian Association Ground,Singapore,Malaysia,Malaysia,bat,Singapore,['S Chandramohan']
294,1190774,27-07-2019,male,Indian Association Ground,Kuwait,Nepal,Nepal,field,Nepal,['P Khadka']
295,1190775,27-07-2019,male,Indian Association Ground,Malaysia,Qatar,Malaysia,bat,Qatar,['Nouman Sarwar']
296,1190776,28-07-2019,male,Indian Association Ground,Singapore,Nepal,Singapore,bat,Singapore,['TH David']
297,1191006,05-08-2019,male,VRA Ground,Netherlands,United Arab Emirates,United Arab Emirates,field,United Arab Emirates,['TH David']
298,1191008,08-08-2019,male,Sportpark Westvliet,Netherlands,United Arab Emirates,Netherlands,bat,United Arab Emirates,['TH David']
299,1192223,13-07-2019,male,Kinrara Academy Oval,Malaysia,Nepal,Malaysia,bat,Nepal,['P Khadka']
300,1192224,14-07-2019,male,Kinrara Academy Oval,Malaysia,Nepal,Nepal,bat,Nepal,['B Bhandari']
301,1192875,01-09-2019,male,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,Sri Lanka,bat,New Zealand,['LRPL Taylor']
302,1192876,03-09-2019,male,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,Sri Lanka,bat,New Zealand,['TG Southee']
303,1192877,06-09-2019,male,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,Sri Lanka,bat,Sri Lanka,['SL Malinga']
304,1193494,14-11-2019,male,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,Afghanistan,field,West Indies,['KA Pollard']
305,1193495,16-11-2019,male,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,Afghanistan,bat,Afghanistan,['Karim Janat']
306,1193496,17-11-2019,male,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,Afghanistan,bat,Afghanistan,['Rahmanullah Gurbaz']
307,1196033,07-09-2019,female,Gahanga International Cricket Stadium. Rwanda,Rwanda,Nigeria,Nigeria,bat,Rwanda,['S Sunday']
308,1197047,02-09-2019,female,Forthill,Bangladesh,Papua New Guinea,Papua New Guinea,field,Bangladesh,['Nahida Akter']
309,1197049,31-08-2019,female,Forthill,Scotland,United States of America,Scotland,bat,Scotland,['KE Bryce']
310,1197051,01-09-2019,female,Forthill,Namibia,Thailand,Thailand,bat,Thailand,['C Sutthiruang']
311,1197052,01-09-2019,female,Lochlands,Scotland,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,['B Tau']
312,1197053,01-09-2019,female,Forthill,Ireland,Netherlands,Ireland,bat,Ireland,['L Delany']
313,1197054,01-09-2019,female,Lochlands,Bangladesh,United States of America,United States of America,bat,Bangladesh,['Nahida Akter']
314,1197055,03-09-2019,female,Forthill,Ireland,Thailand,Ireland,field,Thailand,['S Laomi']
315,1197056,03-09-2019,female,Lochlands,Namibia,Netherlands,Namibia,bat,Netherlands,['HDJ Siegers']
