value,name
SA Asnodkar,SA Asnodkar
Sohail Tanvir,Sohail Tanvir
Salman Butt,Salman Butt
BJ Hodge,BJ Hodge
Umar Gul,Umar Gul
SP Fleming,SP Fleming
S Vidyut,S Vidyut
JA Morkel,JA Morkel
LPC Silva,LPC Silva
DB Ravi Teja,DB Ravi Teja
Misbah-ul-Haq,Misbah-ul-Haq
YV Takawale,YV Takawale
RR Raje,RR Raje
Mohammad Asif,Mohammad Asif
GD McGrath,GD McGrath
Joginder Sharma,Joginder Sharma
MS Gony,MS Gony
M Muralitharan,M Muralitharan
M Ntini,M Ntini
DT Patil,DT Patil
A Kumble,A Kumble
S Anirudha,S Anirudha
CK Kapugedera,CK Kapugedera
A Chopra,A Chopra
T Taibu,T Taibu
J Arunkumar,J Arunkumar
PP Ojha,PP Ojha
SP Goswami,SP Goswami
SR Tendulkar,SR Tendulkar
U Kaul,U Kaul
TM Dilshan,TM Dilshan
AD Mascarenhas,AD Mascarenhas
Niraj Patel,Niraj Patel
LA Pomersbach,LA Pomersbach
Younis Khan,Younis Khan
PM Sarvesh Kumar,PM Sarvesh Kumar
DP Vijaykumar,DP Vijaykumar
Shoaib Akhtar,Shoaib Akhtar
Abdur Razzak,Abdur Razzak
H Das,H Das
SD Chitnis,SD Chitnis
CRD Fernando,CRD Fernando
VS Yeligati,VS Yeligati
L Balaji,L Balaji
A Mukund,A Mukund
RR Powar,RR Powar
JP Duminy,JP Duminy
A Flintoff,A Flintoff
T Thushara,T Thushara
JD Ryder,JD Ryder
KP Pietersen,KP Pietersen
T Henderson,T Henderson
Kamran Khan,Kamran Khan
RS Bopara,RS Bopara
R Bishnoi,R Bishnoi
FH Edwards,FH Edwards
PC Valthaty,PC Valthaty
RJ Quiney,RJ Quiney
AS Raut,AS Raut
Yashpal Singh,Yashpal Singh
M Manhas,M Manhas
AA Bilakhia,AA Bilakhia
AN Ghosh,AN Ghosh
BAW Mendis,BAW Mendis
DL Vettori,DL Vettori
MN van Wyk,MN van Wyk
RE van der Merwe,RE van der Merwe
TL Suman,TL Suman
Shoaib Ahmed,Shoaib Ahmed
GR Napier,GR Napier
KP Appanna,KP Appanna
LA Carseldine,LA Carseldine
SM Harwood,SM Harwood
M Vijay,M Vijay
SB Jakati,SB Jakati
RJ Harris,RJ Harris
D du Preez,D du Preez
M Morkel,M Morkel
J Botha,J Botha
C Nanda,C Nanda
Mashrafe Mortaza,Mashrafe Mortaza
A Singh,A Singh
GJ Bailey,GJ Bailey
AB McDonald,AB McDonald
Y Nagar,Y Nagar
SS Shaikh,SS Shaikh
R Ashwin,R Ashwin
Mohammad Ashraful,Mohammad Ashraful
CA Pujara,CA Pujara
OA Shah,OA Shah
Anirudh Singh,Anirudh Singh
Jaskaran Singh,Jaskaran Singh
R Sathish,R Sathish
R McLaren,R McLaren
AA Jhunjhunwala,AA Jhunjhunwala
P Dogra,P Dogra
A Uniyal,A Uniyal
MS Bisla,MS Bisla
YA Abdulla,YA Abdulla
JM Kemp,JM Kemp
S Tyagi,S Tyagi
RS Gavaskar,RS Gavaskar
SE Bond,SE Bond
S Ladda,S Ladda
DP Nannes,DP Nannes
MJ Lumb,MJ Lumb
DR Martyn,DR Martyn
S Narwal,S Narwal
AB Barath,AB Barath
FY Fazal,FY Fazal
AC Voges,AC Voges
MD Mishra,MD Mishra
J Theron,J Theron
SJ Srivastava,SJ Srivastava
R Sharma,R Sharma
SW Tait,SW Tait
KB Arun Karthik,KB Arun Karthik
KAJ Roach,KAJ Roach
PD Collingwood,PD Collingwood
CK Langeveldt,CK Langeveldt
VS Malik,VS Malik
A Mithun,A Mithun
AP Dole,AP Dole
AN Ahmed,AN Ahmed
RS Sodhi,RS Sodhi
DE Bollinger,DE Bollinger
S Sriram,S Sriram
B Sumanth,B Sumanth
C Madan,C Madan
AG Paunikar,AG Paunikar
MR Marsh,MR Marsh
Harmeet Singh,Harmeet Singh
RV Gomez,RV Gomez
AUK Pathan,AUK Pathan
UBT Chand,UBT Chand
DJ Jacobs,DJ Jacobs
Sunny Singh,Sunny Singh
NJ Rimmington,NJ Rimmington
AL Menaria,AL Menaria
WD Parnell,WD Parnell
JJ van der Wath,JJ van der Wath
R Ninan,R Ninan
MS Wade,MS Wade
TD Paine,TD Paine
SB Wagh,SB Wagh
AC Thomas,AC Thomas
JEC Franklin,JEC Franklin
DH Yagnik,DH Yagnik
S Randiv,S Randiv
BJ Haddin,BJ Haddin
NLTC Perera,NLTC Perera
NL McCullum,NL McCullum
JE Taylor,JE Taylor
J Syed Mohammad,J Syed Mohammad
RN ten Doeschate,RN ten Doeschate
TR Birt,TR Birt
AG Murtaza,AG Murtaza
Harpreet Singh,Harpreet Singh
M Klinger,M Klinger
AC Blizzard,AC Blizzard
I Malhotra,I Malhotra
L Ablish,L Ablish
CA Ingram,CA Ingram
P Parameswaran,P Parameswaran
CJ Ferguson,CJ Ferguson
AA Chavan,AA Chavan
ND Doshi,ND Doshi
Y Gnaneswara Rao,Y Gnaneswara Rao
S Rana,S Rana
BA Bhatt,BA Bhatt
RE Levi,RE Levi
KK Cooper,KK Cooper
HV Patel,HV Patel
DAJ Bracewell,DAJ Bracewell
DJ Harris,DJ Harris
GB Hogg,GB Hogg
RR Bhatkal,RR Bhatkal
CJ McKay,CJ McKay
N Saini,N Saini
Azhar Mahmood,Azhar Mahmood
RJ Peterson,RJ Peterson
KMDN Kulasekara,KMDN Kulasekara
A Ashish Reddy,A Ashish Reddy
V Pratap Singh,V Pratap Singh
BB Samantray,BB Samantray
MJ Clarke,MJ Clarke
Gurkeerat Singh,Gurkeerat Singh
AP Majumdar,AP Majumdar
PA Reddy,PA Reddy
K Upadhyay,K Upadhyay
P Awana,P Awana
AD Russell,AD Russell
A Chandila,A Chandila
Sunny Gupta,Sunny Gupta
MC Juneja,MC Juneja
GH Vihari,GH Vihari
MDKJ Perera,MDKJ Perera
R Shukla,R Shukla
B Laughlin,B Laughlin
BMAJ Mendis,BMAJ Mendis
R Rampaul,R Rampaul
SMSM Senanayake,SMSM Senanayake
BJ Rohrer,BJ Rohrer
KL Rahul,KL Rahul
Q de Kock,Q de Kock
R Dhawan,R Dhawan
LJ Wright,LJ Wright
IC Pandey,IC Pandey
CM Gautam,CM Gautam
X Thalaivan Sargunam,X Thalaivan Sargunam
DJG Sammy,DJG Sammy
KW Richardson,KW Richardson
UA Birla,UA Birla
Parvez Rasool,Parvez Rasool
PV Tambe,PV Tambe
NJ Maddinson,NJ Maddinson
JDS Neesham,JDS Neesham
MA Starc,MA Starc
BR Dunk,BR Dunk
RR Rossouw,RR Rossouw
Shivam Sharma,Shivam Sharma
VH Zol,VH Zol
BE Hendricks,BE Hendricks
S Gopal,S Gopal
M de Lange,M de Lange
JO Holder,JO Holder
Karanveer Singh,Karanveer Singh
SA Abbott,SA Abbott
J Suchith,J Suchith
RG More,RG More
D Wiese,D Wiese
